object_key,object_class,authority_provider,source_id,name_context,latitude,longitude,source_area_m2,derived_area_m2,perimeter_m,height_min_m,height_max_m,elev_min_m,elev_max_m,quality,acquisition_method,provider,date_min,date_max,h_accuracy,v_accuracy,dataset,dataset_uuid,provenance_method,attributes_ref
nrcan:building:79f19e6e-9da7-4f1e-b269-ac2f28aff1d0,building,nrcan,79f19e6e-9da7-4f1e-b269-ac2f28aff1d0,Place Ville Marie,45.501622,-73.568599,8317.0,8317.8,388.0,0.01,206.83,36.27,37.52,Good,Lidar,Provincial-Territorial,20180907,20181115,2-2,1-1,NRCan Automatically Extracted Buildings,7a5cda52-c7df-427f-9ced-26f19a8a64d6,vector-selection,authority-record
nrcan:building:ae6980f1-b153-4e75-8f35-ae544279189c,building,nrcan,ae6980f1-b153-4e75-8f35-ae544279189c,Gare Centrale,45.499617,-73.566801,11718.4,11719.4,467.3,0.19,84.31,26.92,34.25,Good,Lidar,Provincial-Territorial,20180907,20181115,2-2,1-1,NRCan Automatically Extracted Buildings,7a5cda52-c7df-427f-9ced-26f19a8a64d6,vector-selection,authority-record
